Jugador,Edad,Convocados,Partidos_Jugados,Partidos_Titular,Minutos,Goles,Amarillas,Rojas,Equipo,Posicion,Pct_Titularidad,Minutos_por_Partido,Partidos_90,Goles_p90,Amarillas_p90,Rojas_p90,Tarjetas_p90,Pct_Participacion,Pct_Titularidad_Real,Minutos_por_Convocatoria,Tarjetas_Totales,Disciplina,Impacto_Ofensivo,Confianza_CT,Jugador_Problema,Posicion_Limpia,Peso_Equipo,Rank_Impacto_Ofensivo,Rank_Confianza_CT,Rank_Pct_Titularidad_Real,Rank_Disciplina,Rank_Peso_Equipo
Diego Ros Ballester,21.0,15,14,14,1260,0.0,0,0,Cd Almoradi,Portero,1.0,90.0,14.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.9333333333333333,84.0,0,0.0,0.0,90.0,False,Portero,0.9333333333333333,151.0,4.0,3.0,280.0,13.0
Gálvez Sansano,29.0,16,2,2,180,0.0,0,0,Cd Almoradi,Portero,1.0,90.0,2.0,0.0,0.0,0.0,0.0,0.125,0.125,11.25,0,0.0,0.0,90.0,False,Portero,0.125,151.0,4.0,62.0,280.0,132.0
Ruben Gil Roch,,1,0,0,0,0.0,0,0,Cd Almoradi,Portero,,,0.0,,,,,0.0,0.0,0.0,0,,,,False,Portero,0.0,,,68.0,,135.0
Adri Moya Adán,,9,8,7,625,0.0,0,0,Cd Almoradi,Defensa,0.875,78.125,6.944444444444445,0.0,0.0,0.0,0.0,0.8888888888888888,0.7777777777777778,69.44444444444444,0,0.0,0.0,78.125,False,Defensa,0.8444444444444444,151.0,71.0,19.0,280.0,39.0
Carlos Adsuar Jimenez,26.0,15,15,12,1136,0.0,6,0,Cd Almoradi,Defensa,0.8,75.73333333333333,12.622222222222222,0.0,0.47535211267605637,0.0,0.47535211267605637,1.0,0.8,75.73333333333333,6,0.00528169014084507,0.0,75.73333333333333,False,Defensa,0.92,151.0,83.0,17.0,119.0,17.0
Escudero López,37.0,12,10,8,711,1.0,3,0,Cd Almoradi,Central,0.8,71.1,7.9,0.12658227848101264,0.37974683544303794,0.0,0.37974683544303794,0.8333333333333334,0.6666666666666666,59.25,3,0.004219409282700422,0.8312243582029417,71.1,False,Central,0.7666666666666666,117.0,111.0,26.0,156.0,57.0
Samuel López García,35.0,9,9,6,613,1.0,1,0,Cd Almoradi,Lateral Derecho,0.6666666666666666,68.11111111111111,6.811111111111111,0.1468189233278956,0.1468189233278956,0.0,0.1468189233278956,1.0,0.6666666666666666,68.11111111111111,1,0.0016313213703099511,0.9423374294196721,68.11111111111111,False,Defensa,0.8666666666666667,110.0,130.0,26.0,248.0,31.0
Yeray Solivella Terres,22.0,12,11,6,546,0.0,1,0,Cd Almoradi,Lateral Izquierdo,0.5454545454545454,49.63636363636363,6.066666666666666,0.0,0.16483516483516483,0.0,0.16483516483516483,0.9166666666666666,0.5,45.5,1,0.0018315018315018315,0.0,49.63636363636363,False,Defensa,0.75,151.0,208.0,37.0,237.0,61.0
Confi García Castaño,33.0,10,10,6,515,4.0,4,0,Cd Almoradi,Medio Centro,0.6,51.5,5.722222222222222,0.6990291262135923,0.6990291262135923,0.0,0.6990291262135923,1.0,0.6,51.5,4,0.007766990291262136,4.3648545325028065,51.5,True,Medio Centro,0.84,12.0,201.0,30.0,65.0,42.0
Cristian Hurtado Guillamón,32.0,13,13,10,811,0.0,1,0,Cd Almoradi,Medio Centro,0.7692307692307693,62.38461538461539,9.011111111111111,0.0,0.11097410604192355,0.0,0.11097410604192355,1.0,0.7692307692307693,62.38461538461539,1,0.0012330456226880395,0.0,62.38461538461539,False,Medio Centro,0.9076923076923077,151.0,151.0,20.0,258.0,21.0
